,Postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie,Straten
0,3028 XG,51.917692692093,4.4198660023085,"
Hekbootstraat 19 - 25 

",010,3028,Oud Mathenesse,Delfshaven,Rotterdam,Rotterdam,Zuid-Holland,
0,1431 BR,52.270576669876,4.7473358713118,"
Helling 1 - 41 

",0297,1431,Centrum,Wijk 00 Aalsmeer,Aalsmeer,Aalsmeer,Noord-Holland,
0,1013 HC,52.381284709262,4.8876061409992,"
Brouwersgracht 180 - 194 

",020,1013,Haarlemmerbuurt West,Haarlemmerbuurt,Amsterdam,Amsterdam,Noord-Holland,
0,1057 RM,52.367372972256,4.8515729645276,"
Van Spilbergenstraat 98 - 118 

",020,1057,Orteliusbuurt Midden,Hoofdweg e.o.,Amsterdam,Amsterdam,Noord-Holland,
0,2574 EK,52.060368339487,4.2898385537087,"
Soestdijksekade 936 - 958 

",070,2574,Oostbroek-Zuid,Wijk 31 Rustenburg en Oostbroek,Den Haag,'s-Gravenhage,Zuid-Holland,
0,1061 VX,52.366858288616,4.8406520658433,"
Derkinderenstraat 90 - 220 

",020,1061,Overtoomse Veld Noord,Overtoomse Veld,Amsterdam,Amsterdam,Noord-Holland,
0,2563 AA,52.080237901726,4.2807956705419,"
Laan van Meerdervoort 211 - 231 

",070,2563,Sweelinckplein en omgeving,Wijk 11 Duinoord,Den Haag,'s-Gravenhage,Zuid-Holland,
0,1082 SV,52.334081589494,4.8737994700028,"
Wedderborg 1 - 47 

",020,1082,Gelderlandpleinbuurt,Buitenveldert-West,Amsterdam,Amsterdam,Noord-Holland,
0,3314 CV,51.795994653858,4.6575382271123,"
Zuidendijk 189 - 225 

",078,3314,Zuidendijk,Wijk 03 Oud Krispijn,Dordrecht,Dordrecht,Zuid-Holland,
0,2311 SB,52.157018619294,4.4893122507508,"
Zuidendijk 189 - 225 

",071,2311,Pieterswijk,Binnenstad-Zuid,Leiden,Leiden,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,1071 GD,52.35587669901,4.8682195936988,"
Van Eeghenstraat 185 - 199 

",020,1071,Cornelis Schuytbuurt,Museumkwartier,Amsterdam,Amsterdam,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,2597 GD,52.105053107307,4.329123083244,"
Cees Laseurlaan 165 - 205 

",070,2597,Duinzigt,Wijk 04 Benoordenhout,Den Haag,'s-Gravenhage,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,2513 RW,52.078334743979,4.2949662005947,"
Helmersstraat 57 - 107 

",070,2513,Zeeheldenkwartier,Wijk 22 Zeeheldenkwartier,Den Haag,'s-Gravenhage,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,3062 KC,51.921185146627,4.5142150693102,"
Polanenstraat 2 - 16 

",010,3062,Kralingen Oost,Kralingen-Crooswijk,Rotterdam,Rotterdam,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,2132 DL,52.303591311055,4.6927074398915,"
Marktlaan 1 - 31 

",023,2132,Hoofddorp Zuid,Hoofddorp,Hoofddorp,Haarlemmermeer,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,2713 GN,52.051922038841,4.4808572460391,"
Stadhoudersring 392 - 460 

",079,2713,Driemanspolder,Centrum,Zoetermeer,Zoetermeer,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,3811 JW,52.158134729961,5.3948170448046,"
Oliesteeg 1 - 36 

",033,3811,Coninckstraat,Wijk 01 Stadskern,Amersfoort,Amersfoort,Utrecht,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,2351 AK,52.150251815747,4.5233625298842,"
Hoofdstraat 24 - 40 

",071,2351,Kerkwijk,Wijk 00,Leiderdorp,Leiderdorp,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,3706 BW,52.098918186747,5.2140134741893,"
Bachlaan 59 - 109 

",030,3706,Mooi Zeist,Wijk 02 Zeist-Noord,Zeist,Zeist,Utrecht,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,1971 DM,52.461575214,4.6268134288738,"
Gjertsenstraat 1 - 20 

",0255,1971,Lagersbuurt,Wijk 01 IJmuiden-Noord,IJmuiden,Velsen,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,6211 PW,50.849177578434,5.6822658843067,"
Herdenkingsplein 2 - 12 

",043,6211,Kommelkwartier,Wijk 00 Centrum,Maastricht,Maastricht,Limburg,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
0,5658 GE,51.438136996611,5.4162445740428,"
Grasmier 1 - 36 

",040,5658,Grasrijk,Wijk 16 Stadsdeel Strijp,Eindhoven,Eindhoven,Noord-Brabant,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
